Item1,Item2,Item3,Item4,BestItem,WorstItem
235,80,286,296,286,296
153,188,135,11,153,11
29,52,27,183,27,52
134,10,229,172,172,10
241,247,186,250,241,186
42,207,190,217,217,42
8,24,118,213,118,213
182,219,281,271,182,281
168,216,16,60,60,216
67,252,206,214,252,206
159,18,75,154,18,159
14,171,180,158,171,180
35,17,268,133,35,133
205,249,256,50,50,205
131,69,191,169,191,131
47,234,145,265,234,47
179,3,277,56,179,56
66,230,162,269,230,269
51,176,210,1,51,176
25,166,195,299,25,166
85,2,144,30,144,85
114,130,59,274,114,130
123,124,40,279,279,123
79,81,96,83,81,79
119,105,293,266,105,119
257,98,227,117,227,117
73,292,200,245,73,292
125,254,106,148,148,106
280,284,187,177,284,177
255,246,228,91,228,91
192,291,239,126,192,291
253,76,45,194,194,45
89,175,263,226,175,263
267,150,95,141,95,267
151,164,294,54,54,294
77,270,143,74,77,270
33,199,262,92,262,33
224,278,28,68,224,68
128,173,258,139,173,128
111,220,160,212,212,111
109,120,152,44,120,109
161,19,72,184,184,19
201,64,71,147,64,71
273,290,84,97,290,273
260,53,259,261,259,261
112,115,138,232,232,112
204,272,240,100,100,204
21,288,149,287,288,21
15,38,181,55,15,181
26,88,94,283,283,88
86,82,208,275,86,275
223,116,178,242,223,178
248,157,225,87,157,225
174,155,37,93,37,93
170,70,238,215,70,215
203,32,57,113,203,113
285,236,276,90,90,236
41,46,218,189,189,41
49,110,231,221,49,231
108,65,122,6,108,122
4,298,9,121,298,121
63,78,209,107,78,209
185,101,22,289,289,101
146,39,34,102,102,146
140,197,132,23,132,197
163,264,297,136,297,264
62,196,36,104,62,104
7,295,233,193,233,193
156,103,243,13,156,103
167,142,12,237,12,167
61,300,129,137,129,137
48,99,198,20,198,99
222,58,127,31,58,127
282,202,251,5,5,251
165,114,130,217,217,130
103,245,199,92,245,103
287,119,95,242,95,287
75,125,118,132,132,118
148,20,293,24,148,293
42,83,196,87,83,42
296,279,112,295,279,296
152,105,126,234,234,152
227,57,22,5,5,22
228,129,280,16,129,280
294,73,140,168,73,294
71,203,52,41,203,71
197,111,178,85,178,111
235,261,193,200,235,193
299,191,188,205,188,205
50,208,270,262,262,270
153,207,173,258,207,153
67,28,110,215,67,110
233,167,15,61,233,167
264,21,89,212,212,264
172,218,44,291,44,291
201,259,162,169,259,169
98,260,240,100,100,260
17,122,252,255,252,122
80,120,135,19,120,80
77,56,281,179,179,281
139,72,106,253,253,139
157,210,97,185,157,185
142,55,282,300,300,282
194,243,151,91,151,91
51,276,189,4,51,4
158,144,195,26,144,26
131,248,206,36,36,206
141,274,116,64,64,274
220,219,54,32,219,54
10,65,60,221,10,65
230,277,186,124,124,277
275,187,82,159,82,159
1,231,128,156,156,231
290,134,249,165,134,249
37,257,39,161,37,257
102,107,246,180,102,180
145,3,6,9,145,6
155,292,146,121,292,121
68,198,18,109,18,68
285,47,150,38,150,38
86,184,183,226,183,226
232,13,265,222,265,13
12,229,62,211,12,229
48,176,66,138,138,176
90,271,182,289,90,289
53,33,204,59,53,59
74,263,223,154,74,263
286,58,23,147,58,23
